Localidade,Provincia,Nivel,Tipo,Familia ou rama,Estudo,Centro ou sede,Universidade,Campus,Prazas,Fonte
Boiro,A Coruña,FP,fp,Informática e comunicacións,Informática e comunicacións,IES Espiñeira,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Cambre,A Coruña,FP,fp,Informática e comunicacións,Informática de oficina,IES Afonso X O Sabio,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Carballo,A Coruña,FP,fp,Informática e comunicacións,Informática de oficina,IES Isidro Parga Pondal,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Carballo,A Coruña,FP,fp,Hostalaría e turismo,Cociña e restauración,IES Monte Neme,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Carballo,A Coruña,FP,fp,Electricidade e electrónica,Electricidade e electrónica,IES Monte Neme,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Carballo,A Coruña,FP,fp,Fabricación mecánica,Fabricación e montaxe,IES Monte Neme,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Cedeira,A Coruña,FP,fp,Electricidade e electrónica,Electricidade e electrónica,IES Punta Candieira,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Cedeira,A Coruña,FP,fp,Comercio e márketing,Servizos comerciais,IES Punta Candieira,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Cee,A Coruña,FP,fp,Electricidade e electrónica,Electricidade e electrónica,IES Fernando Blanco,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Cee,A Coruña,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,IES Fernando Blanco,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,FP,fp,Hostalaría e turismo,Aloxamento e lavandaría,CIFP Paseo das Pontes,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,FP,fp,"Téxtil, confección e pel",Arranxos e reparación de artigos téxtiles e de pel,CIFP Paseo das Pontes,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,FP,fp,"Téxtil, confección e pel",Tapizaría e cortinaxe,CIFP Paseo das Pontes,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,FP,fp,"Madeira, moble e cortiza",Carpintaría e moble,CIFP Someso,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,FP,fp,Fabricación mecánica,Fabricación e montaxe,CIFP Someso,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,CIFP Someso,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,FP,fp,Imaxe persoal,Peiteado e estética,CIFP Someso,,,36,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,FP,fp,Edificación e obra civil,Reforma e mantemento de edificios,CIFP Someso,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,FP,fp,Informática e comunicacións,Informática e comunicacións,IES Fernando Wirtz Suárez,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,FP,fp,Comercio e márketing,Servizos comerciais,IES Ramón Menéndez Pidal,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,FP,fp,Artes gráficas,Artes gráficas,IES Ramón Menéndez Pidal,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,FP,fp,"Madeira, moble e cortiza",Carpintaría e moble,IES Ramón Menéndez Pidal,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,FP,fp,Fabricación mecánica,Fabricación e montaxe,IES Ramón Menéndez Pidal,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,FP,fp,Electricidade e electrónica,Electricidade e electrónica,IES Urbano Lugrís,,,36,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,FP,fp,Informática e comunicacións,Informática de oficina,IES Urbano Lugrís,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,FP,fp,Informática e comunicacións,Informática de oficina,CPR Aula Nosa,,,20,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,FP,fp,Informática e comunicacións,Informática e comunicacións,CPR Nebrija Torre de Hércules,,,20,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,FP,fp,Administración e xestión,Servizos administrativos,CPR Nebrija Torre de Hércules,,,20,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,FP,fp,Comercio e márketing,Servizos comerciais,CPR Nebrija Torre de Hércules,,,20,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,FP,fp,Administración e xestión,Servizos administrativos,CPR Plurilingüe La Grande Obra de Atocha,,,20,https://www.edu.xunta.gal/fp/oferta-fp
Culleredo,A Coruña,FP,fp,Actividades físicas e deportivas,Acceso e conservación en instalacións deportivas,CIFP Universidade Laboral,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Culleredo,A Coruña,FP,fp,Electricidade e electrónica,Electricidade e electrónica,CIFP Universidade Laboral,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Culleredo,A Coruña,FP,fp,Fabricación mecánica,Fabricación e montaxe,CIFP Universidade Laboral,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Culleredo,A Coruña,FP,fp,Electricidade e electrónica,Instalacións electrotécnicas e mecánica,CIFP Universidade Laboral,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Culleredo,A Coruña,FP,fp,Transporte e mantemento de vehículos,Mantemento de embarcacións deportivas e de recreo,CIFP Universidade Laboral,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Curtis,A Coruña,FP,fp,Informática e comunicacións,Informática de oficina,IES de Curtis,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Curtis,A Coruña,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,IES de Curtis,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Fene,A Coruña,FP,fp,Fabricación mecánica,Fabricación e montaxe,IES de Fene,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Fene,A Coruña,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,IES de Fene,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Ferrol,A Coruña,FP,fp,"Madeira, moble e cortiza",Carpintaría e moble,CIFP Ferrolterra,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Ferrol,A Coruña,FP,fp,Electricidade e electrónica,Electricidade e electrónica,CIFP Ferrolterra,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Ferrol,A Coruña,FP,fp,Artes gráficas,Artes gráficas,CIFP Leixa,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Ferrol,A Coruña,FP,fp,Informática e comunicacións,Informática de oficina,CIFP Rodolfo Ucha Piñeiro,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Ferrol,A Coruña,FP,fp,Imaxe persoal,Peiteado e estética,IES Ricardo Carvalho Calero,,,36,https://www.edu.xunta.gal/fp/oferta-fp
A Laracha,A Coruña,FP,fp,Imaxe persoal,Peiteado e estética,IES Agra de Leborís,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Melide,A Coruña,FP,fp,"Madeira, moble e cortiza",Carpintaría e moble,IES de Melide,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Mugardos,A Coruña,FP,fp,Agraria,Agroxardinaría e composicións florais,IES de Mugardos,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Muros,A Coruña,FP,fp,Electricidade e electrónica,Electricidade e electrónica,IES Plurilingüe Fontexería,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Narón,A Coruña,FP,fp,Electricidade e electrónica,Electricidade e electrónica,IES Terra de Trasancos,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Narón,A Coruña,FP,fp,Comercio e márketing,Servizos comerciais,IES Terra de Trasancos,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Narón,A Coruña,FP,fp,Administración e xestión,Servizos administrativos,CPR Santiago Apóstol,,,20,https://www.edu.xunta.gal/fp/oferta-fp
Negreira,A Coruña,FP,fp,Informática e comunicacións,Informática de oficina,IES Xulián Magariños,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Noia,A Coruña,FP,fp,Electricidade e electrónica,Electricidade e electrónica,IES Campo de San Alberto,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Oleiros,A Coruña,FP,fp,Electricidade e electrónica,Electricidade e electrónica,IES María Casares,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Ordes,A Coruña,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,IES Ordes,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Ordes,A Coruña,FP,fp,Administración e xestión,Servizos administrativos,IES Ordes,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Ortigueira,A Coruña,FP,fp,"Madeira, moble e cortiza",Carpintaría e moble,IES de Ortigueira,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Padrón,A Coruña,FP,fp,Electricidade e electrónica,Electricidade e electrónica,IES Macías o Namorado,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Padrón,A Coruña,FP,fp,Administración e xestión,Servizos administrativos,IES Macías o Namorado,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Pobra do Caramiñal,A Coruña,FP,fp,Administración e xestión,Servizos administrativos,CPR Divino Maestro,,,20,https://www.edu.xunta.gal/fp/oferta-fp
Ponteceso,A Coruña,FP,fp,Servizos socioculturais e á comunidade,Actividades domésticas e limpeza de edificios,IES Eduardo Pondal,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Ponteceso,A Coruña,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,IES Eduardo Pondal,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Pontedeume,A Coruña,FP,fp,Hostalaría e turismo,Cociña e restauración,CIFP Fraga do Eume,,,18,https://www.edu.xunta.gal/fp/oferta-fp
As Pontes de García Rodríguez,A Coruña,FP,fp,Informática e comunicacións,Informática de oficina,IES Plurilingüe Castro da Uz,,,18,https://www.edu.xunta.gal/fp/oferta-fp
As Pontes de García Rodríguez,A Coruña,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,IES Plurilingüe Castro da Uz,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Rianxo,A Coruña,FP,fp,Servizos socioculturais e á comunidade,Actividades domésticas e limpeza de edificios,IES Félix Muriel,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Ribeira,A Coruña,FP,fp,Industrias alimentarias,Industrias alimentarias,CIFP Coroso,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Ribeira,A Coruña,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,CIFP Coroso,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Ribeira,A Coruña,FP,fp,Informática e comunicacións,Informática e comunicacións,IES Leliadoura,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Santa Comba,A Coruña,FP,fp,Hostalaría e turismo,Cociña e restauración,IES Terra de Xallas,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Santa Comba,A Coruña,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,IES Terra de Xallas,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Santiago de Compostela,A Coruña,FP,fp,Hostalaría e turismo,Aloxamento e lavandaría,CIFP Compostela,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Santiago de Compostela,A Coruña,FP,fp,Artes gráficas,Artes gráficas,CIFP Compostela,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Santiago de Compostela,A Coruña,FP,fp,Hostalaría e turismo,Cociña e restauración,CIFP Compostela,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Santiago de Compostela,A Coruña,FP,fp,"Madeira, moble e cortiza",Carpintaría e moble,CIFP Politécnico de Santiago,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Santiago de Compostela,A Coruña,FP,fp,Comercio e márketing,Servizos comerciais,IES A Pontepedriña,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Santiago de Compostela,A Coruña,FP,fp,Actividades físicas e deportivas,Acceso e conservación en instalacións deportivas,IES Arcebispo Xelmírez I,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Santiago de Compostela,A Coruña,FP,fp,Informática e comunicacións,Informática de oficina,IES Arcebispo Xelmírez I,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Santiago de Compostela,A Coruña,FP,fp,Administración e xestión,Servizos administrativos,IES As Fontiñas,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Santiago de Compostela,A Coruña,FP,fp,Imaxe persoal,Peiteado e estética,IES Lamas de Abade,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Vimianzo,A Coruña,FP,fp,Administración e xestión,Servizos administrativos,IES Terra de Soneira,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Zas,A Coruña,FP,fp,Informática e comunicacións,Informática de oficina,IES Maximino Romero de Lema,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Becerreá,Lugo,FP,fp,Electricidade e electrónica,Electricidade e electrónica,IES de Becerreá,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Burela,Lugo,FP,fp,Fabricación mecánica,Fabricación e montaxe,IES Perdouro,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Burela,Lugo,FP,fp,Administración e xestión,Servizos administrativos,IES Perdouro,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Castro de Rei,Lugo,FP,fp,Agraria,Actividades agropecuarias,"IES da Terra Chá, José Trapero Pardo",,,18,https://www.edu.xunta.gal/fp/oferta-fp
Cervo,Lugo,FP,fp,Informática e comunicacións,Informática de oficina,IES Marqués de Sargadelos,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Chantada,Lugo,FP,fp,Informática e comunicacións,Informática de oficina,IES Val do Asma,,,18,https://www.edu.xunta.gal/fp/oferta-fp
