Titulo_marcador,Tipo,Provincia,Localidade,Centro_ou_sede,Enderezo_para_Google,Universidade,Campus,Familias_ou_ramas,Modalidades,Numero_de_estudos,Estudos,Prazas_total_indicadas,Fontes,Nota_de_rigor
IES Plurilingüe Castro da Uz · As Pontes de García Rodríguez,FP grao medio,A Coruña,As Pontes de García Rodríguez,IES Plurilingüe Castro da Uz,"IES Plurilingüe Castro da Uz, As Pontes de García Rodríguez, A Coruña, Galicia, España",,,Informática e comunicacións | Transporte e mantemento de vehículos,Oferta ordinaria,2,Electromecánica de vehículos automóbiles (Oferta ordinaria) || Sistemas microinformáticos e redes (Oferta ordinaria),52,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CFEA de Guísamo · Bergondo,FP grao medio,A Coruña,Bergondo,CFEA de Guísamo,"CFEA de Guísamo, Bergondo, A Coruña, Galicia, España",,,Agraria,Oferta ordinaria,2,Floraría e arte floral (Oferta ordinaria) || Xardinaría e floraría (Oferta ordinaria),42,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES As Mariñas · Betanzos,FP grao medio,A Coruña,Betanzos,IES As Mariñas,"IES As Mariñas, Betanzos, A Coruña, Galicia, España",,,Administración e xestión | Electricidade e electrónica | Transporte e mantemento de vehículos,Oferta ordinaria,3,Electromecánica de vehículos automóbiles (Oferta ordinaria) || Instalacións eléctricas e automáticas (Oferta ordinaria) || Xestión administrativa (Oferta ordinaria),74,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Espiñeira · Boiro,FP grao medio,A Coruña,Boiro,IES Espiñeira,"IES Espiñeira, Boiro, A Coruña, Galicia, España",,,Administración e xestión | Electricidade e electrónica,Oferta ordinaria,2,Instalacións de telecomunicacións (Oferta ordinaria) || Xestión administrativa (Oferta ordinaria),52,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CFEA de Sergude · Boqueixón,FP grao medio,A Coruña,Boqueixón,CFEA de Sergude,"CFEA de Sergude, Boqueixón, A Coruña, Galicia, España",,,Agraria,Oferta ordinaria,2,Aproveitamento e conservación do medio natural (Oferta ordinaria) || Produción agropecuaria (Oferta ordinaria),44,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
"CIFP Leixa · CPR, EFAG: Centro privado coas ensinanzas concertadas.",FP grao medio,A Coruña,"CPR, EFAG: Centro privado coas ensinanzas concertadas.",CIFP Leixa,"CIFP Leixa, CPR, EFAG: Centro privado coas ensinanzas concertadas., A Coruña, Galicia, España",,,Sanidade,Oferta modular,1,Emerxencias sanitarias (Oferta modular),,i_portal_oferta_clasificada_por_prov_concello_modular_24-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
"CIFP Paseo das Pontes · CPR, EFAG: Centro privado coas ensinanzas concertadas.",FP grao medio,A Coruña,"CPR, EFAG: Centro privado coas ensinanzas concertadas.",CIFP Paseo das Pontes,"CIFP Paseo das Pontes, CPR, EFAG: Centro privado coas ensinanzas concertadas., A Coruña, Galicia, España",,,Hostalaría e turismo,Oferta modular,2,Cociña e gastronomía (Oferta modular) || Servizos en restaurante (Oferta modular),,i_portal_oferta_clasificada_por_prov_concello_modular_24-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
"CIFP Politécnico de Santiago · CPR, EFAG: Centro privado coas ensinanzas concertadas.",FP grao medio,A Coruña,"CPR, EFAG: Centro privado coas ensinanzas concertadas.",CIFP Politécnico de Santiago,"CIFP Politécnico de Santiago, CPR, EFAG: Centro privado coas ensinanzas concertadas., A Coruña, Galicia, España",,,Fabricación mecánica,Oferta modular,1,Montaxe de instalacións de tubaxes e construcións e carpintaría metálica (Oferta modular),,i_portal_oferta_clasificada_por_prov_concello_modular_24-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
"CIFP Someso · CPR, EFAG: Centro privado coas ensinanzas concertadas.",FP grao medio,A Coruña,"CPR, EFAG: Centro privado coas ensinanzas concertadas.",CIFP Someso,"CIFP Someso, CPR, EFAG: Centro privado coas ensinanzas concertadas., A Coruña, Galicia, España",,,"Edificación e obra civil | Fabricación mecánica | Imaxe persoal | Madeira, moble e cortiza | Transporte e mantemento de vehículos",Oferta modular,5,Cubertas e impermeabilizacións (Oferta modular) || Electromecánica de vehículos automóbiles (Oferta modular) || Instalación e amoblamento (Oferta modular) || Peiteado e cosmética capilar (Oferta modular) || Soldadura e caldeiraría (Oferta modular),,i_portal_oferta_clasificada_por_prov_concello_modular_24-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
"CIFP Universidade Laboral · CPR, EFAG: Centro privado coas ensinanzas concertadas.",FP grao medio,A Coruña,"CPR, EFAG: Centro privado coas ensinanzas concertadas.",CIFP Universidade Laboral,"CIFP Universidade Laboral, CPR, EFAG: Centro privado coas ensinanzas concertadas., A Coruña, Galicia, España",,,Instalación e mantemento,Oferta modular,2,Instalacións de produción de calor (Oferta modular) || Instalacións frigoríficas e de climatización (Oferta modular),,i_portal_oferta_clasificada_por_prov_concello_modular_24-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
"IES Arcebispo Xelmírez I · CPR, EFAG: Centro privado coas ensinanzas concertadas.",FP grao medio,A Coruña,"CPR, EFAG: Centro privado coas ensinanzas concertadas.",IES Arcebispo Xelmírez I,"IES Arcebispo Xelmírez I, CPR, EFAG: Centro privado coas ensinanzas concertadas., A Coruña, Galicia, España",,,Imaxe e son,Oferta modular,1,Vídeo disc-jockey e son (Oferta modular),,i_portal_oferta_clasificada_por_prov_concello_modular_24-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
"IES Lamas de Abade · CPR, EFAG: Centro privado coas ensinanzas concertadas.",FP grao medio,A Coruña,"CPR, EFAG: Centro privado coas ensinanzas concertadas.",IES Lamas de Abade,"IES Lamas de Abade, CPR, EFAG: Centro privado coas ensinanzas concertadas., A Coruña, Galicia, España",,,Sanidade,Oferta modular,1,Emerxencias sanitarias (Oferta modular),,i_portal_oferta_clasificada_por_prov_concello_modular_24-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Afonso X O Sabio · Cambre,FP grao medio,A Coruña,Cambre,IES Afonso X O Sabio,"IES Afonso X O Sabio, Cambre, A Coruña, Galicia, España",,,Administración e xestión,Oferta ordinaria,1,Xestión administrativa (Oferta ordinaria),30,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Monte Neme · Carballo,FP grao medio,A Coruña,Carballo,IES Monte Neme,"IES Monte Neme, Carballo, A Coruña, Galicia, España",,,Administración e xestión | Electricidade e electrónica | Fabricación mecánica,Oferta ordinaria,4,Instalacións de telecomunicacións (Oferta ordinaria) || Instalacións eléctricas e automáticas (Oferta ordinaria) || Mecanizado (Oferta ordinaria) || Xestión administrativa (Oferta ordinaria),96,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Cabo Ortegal · Cariño,FP grao medio,A Coruña,Cariño,IES Cabo Ortegal,"IES Cabo Ortegal, Cariño, A Coruña, Galicia, España",,,Informática e comunicacións,Oferta modular,1,Sistemas microinformáticos e redes (Oferta modular),,i_portal_oferta_clasificada_por_prov_concello_modular_24-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Punta Candieira · Cedeira,FP grao medio,A Coruña,Cedeira,IES Punta Candieira,"IES Punta Candieira, Cedeira, A Coruña, Galicia, España",,,Electricidade e electrónica | Instalación e mantemento,Oferta ordinaria,2,Instalacións eléctricas e automáticas (Oferta ordinaria) || Mantemento electromecánico (Oferta ordinaria),44,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Fernando Blanco · Cee,FP grao medio,A Coruña,Cee,IES Fernando Blanco,"IES Fernando Blanco, Cee, A Coruña, Galicia, España",,,Administración e xestión | Electricidade e electrónica | Instalación e mantemento | Transporte e mantemento de vehículos,Oferta ordinaria,4,Electromecánica de vehículos automóbiles (Oferta ordinaria) || Instalacións eléctricas e automáticas (Oferta ordinaria) || Mantemento electromecánico (Oferta ordinaria) || Xestión administrativa (Oferta ordinaria),96,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
EFAG Fonteboa · Coristanco,FP grao medio,A Coruña,Coristanco,EFAG Fonteboa,"EFAG Fonteboa, Coristanco, A Coruña, Galicia, España",,,Actividades físicas e deportivas | Agraria,Oferta ordinaria,2,Guía no medio natural e de tempo libre (Oferta ordinaria) || Produción agropecuaria (Oferta ordinaria),50,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
