Titulo_marcador,Tipo,Provincia,Localidade,Centro_ou_sede,Enderezo_para_Google,Universidade,Campus,Familias_ou_ramas,Modalidades,Numero_de_estudos,Estudos,Prazas_total_indicadas,Fontes,Nota_de_rigor
"CIFP Imaxe e Son · CPR, EFAG: Centro privado coas ensinanzas concertadas.",FP grao superior,A Coruña,"CPR, EFAG: Centro privado coas ensinanzas concertadas.",CIFP Imaxe e Son,"CIFP Imaxe e Son, CPR, EFAG: Centro privado coas ensinanzas concertadas., A Coruña, Galicia, España",,,Imaxe e son,Oferta modular,2,"Animacións 3D, xogos e contornos interactivos (Oferta modular) || Iluminación, captación e tratamento de imaxe (Oferta modular)",,i_portal_oferta_clasificada_por_prov_concello_modular_24-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
"CIFP Politécnico de Santiago · CPR, EFAG: Centro privado coas ensinanzas concertadas.",FP grao superior,A Coruña,"CPR, EFAG: Centro privado coas ensinanzas concertadas.",CIFP Politécnico de Santiago,"CIFP Politécnico de Santiago, CPR, EFAG: Centro privado coas ensinanzas concertadas., A Coruña, Galicia, España",,,Química,Oferta modular,1,Laboratorio de análise e de control de calidade (Oferta modular),,i_portal_oferta_clasificada_por_prov_concello_modular_24-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
"CIFP Santiago · CPR, EFAG: Centro privado coas ensinanzas concertadas.",FP grao superior,A Coruña,"CPR, EFAG: Centro privado coas ensinanzas concertadas.",CIFP Santiago,"CIFP Santiago, CPR, EFAG: Centro privado coas ensinanzas concertadas., A Coruña, Galicia, España",,,Agraria,Oferta modular,1,Xestión forestal e do medio natural (Oferta modular),,i_portal_oferta_clasificada_por_prov_concello_modular_24-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
"CIFP Universidade Laboral · CPR, EFAG: Centro privado coas ensinanzas concertadas.",FP grao superior,A Coruña,"CPR, EFAG: Centro privado coas ensinanzas concertadas.",CIFP Universidade Laboral,"CIFP Universidade Laboral, CPR, EFAG: Centro privado coas ensinanzas concertadas., A Coruña, Galicia, España",,,Actividades físicas e deportivas | Enerxía e auga,Oferta modular,2,Enerxías renovables (Oferta modular) || Ensinanza e animación sociodeportiva (Oferta modular),,i_portal_oferta_clasificada_por_prov_concello_modular_24-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
"CPR, EFAG: Centro privado coas ensinanzas concertadas.",FP grao superior,A Coruña,"CPR, EFAG: Centro privado coas ensinanzas concertadas.","CPR, EFAG: Centro privado coas ensinanzas concertadas.","CPR, EFAG: Centro privado coas ensinanzas concertadas., A Coruña, Galicia, España",,,Administración e xestión | Artes gráficas | Electricidade e electrónica | Fabricación mecánica | Hostalaría e turismo | Imaxe persoal | Informática e comunicacións | Química | Sanidade | Servizos socioculturais e á comunidade | Transporte e mantemento de vehículos,Oferta modular,18,"Administración e finanzas (Oferta modular) || Anatomía patolóxica e citodiagnóstico (Oferta modular) || Audioloxía protésica (Oferta modular) || Automoción (Oferta modular) || Desenvolvemento de aplicacións web (Oferta modular) || Deseño e edición de publicacións impresas e multimedia (Oferta modular) || Deseño e xestión da produción gráfica (Oferta modular) || Deseño en fabricación mecánica (Oferta modular) || Dirección de cociña (Oferta modular) || Documentación e administración sanitarias (Oferta modular) || Educación infantil (Oferta modular) || Estética integral e benestar (Oferta modular) || Fabricación de produtos farmacéuticos, biotecnolóxicos e afíns (Oferta modular) || Hixiene bucodental (Oferta modular) || Laboratorio clínico e biomédico (Oferta modular) || Programación da produción en fabricación mecánica (Oferta modular) || Sistemas de telecomunicacións e informáticos (Oferta modular) || Sistemas electrotécnicos e automatizados (Oferta modular)",,i_portal_oferta_clasificada_por_prov_concello_modular_24-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
"IES A Sardiñeira · CPR, EFAG: Centro privado coas ensinanzas concertadas.",FP grao superior,A Coruña,"CPR, EFAG: Centro privado coas ensinanzas concertadas.",IES A Sardiñeira,"IES A Sardiñeira, CPR, EFAG: Centro privado coas ensinanzas concertadas., A Coruña, Galicia, España",,,Química,Oferta modular,1,Laboratorio de análise e de control de calidade (Oferta modular),,i_portal_oferta_clasificada_por_prov_concello_modular_24-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
"IES Lamas de Abade · CPR, EFAG: Centro privado coas ensinanzas concertadas.",FP grao superior,A Coruña,"CPR, EFAG: Centro privado coas ensinanzas concertadas.",IES Lamas de Abade,"IES Lamas de Abade, CPR, EFAG: Centro privado coas ensinanzas concertadas., A Coruña, Galicia, España",,,Sanidade,Oferta modular,1,Laboratorio clínico e biomédico (Oferta modular),,i_portal_oferta_clasificada_por_prov_concello_modular_24-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Afonso X O Sabio · Cambre,FP grao superior,A Coruña,Cambre,IES Afonso X O Sabio,"IES Afonso X O Sabio, Cambre, A Coruña, Galicia, España",,,Administración e xestión,Oferta ordinaria,1,Administración e finanzas (Oferta ordinaria),30,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Alfredo Brañas · Carballo,FP grao superior,A Coruña,Carballo,IES Alfredo Brañas,"IES Alfredo Brañas, Carballo, A Coruña, Galicia, España",,,Comercio e márketing,Oferta ordinaria,1,Comercio internacional (Oferta ordinaria),30,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Isidro Parga Pondal · Carballo,FP grao superior,A Coruña,Carballo,IES Isidro Parga Pondal,"IES Isidro Parga Pondal, Carballo, A Coruña, Galicia, España",,,Informática e comunicacións,Oferta ordinaria,1,Administración de sistemas informáticos en rede (Oferta ordinaria),30,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
